Membership No  Date Joined  Active  
    64459      2019-6-25    no    
    53256      2020-3-13    no    
    49347      2016-8-7     no    
    96651      2018-10-8    no    
    13438      2018-10-2    no    
    39975      2015-5-18    no    
    92373      2019-11-10   no    
    17254      2018-5-8     no    
    34764      2016-7-9     no    
    38102      2017-4-20    no    
    61309      2020-7-23    no    
    70791      2015-11-15   no    
    46758      2019-8-15    no    
    32828      2018-4-24    no    
